neighborhood,perRented,trees
Athmar Park,37.43,2465
Auraria,35.0,1240
Baker,55.66,2853
Barnum,43.77,2159
Barnum West,32.1,1328
Bear Valley,44.77,1442
Belcaro,20.46,3394
Berkeley,36.06,5946
Capitol Hill,79.66,2950
CBD,83.62,1350
Chaffee Park,26.41,1330
Cheesman Park,71.23,3226
Cherry Creek,52.77,4485
City Park,65.71,7683
City Park West,70.98,2318
Civic Center,74.21,1448
Clayton,46.02,2184
Cole,52.66,1969
Congress Park,57.62,5537
Cory - Merrill,21.74,2439
Country Club,18.54,3359
DIA,23.18,1218
East Colfax,65.97,2881
Elyria Swansea,52.04,1832
Five Points,72.31,5049
Fort Logan,26.4,2879
Globeville,55.29,1461
Goldsmith,71.11,445
Hale,51.16,3653
Hampden,51.56,4579
Hampden South,43.99,4672
Harvey Park,32.91,1621
Harvey Park South,37.94,1171
Highland,55.31,4752
Hilltop,27.93,7070
Indian Creek,25.66,3290
Jefferson Park,68.02,1955
Kennedy,99.25,2078
Lincoln Park,72.2,2876
Lowry Field,50.85,8196
Mar Lee,37.7,2016
Marston,36.29,2773
Montbello,36.33,4958
Montclair,31.26,4430
North Capitol Hill,84.26,1334
North Park Hill,17.98,5556
Northeast Park Hill,53.03,2191
Overland,56.9,2507
Platt Park,35.23,3971
Regis,31.72,3461
Rosedale,49.96,1899
Ruby Hill,49.19,2581
Skyland,38.45,2167
Sloan Lake,45.13,5260
South Park Hill,20.21,7894
Southmoor Park,63.14,1274
Speer,70.35,4466
Stapleton,22.36,21028
Sun Valley,95.79,867
Sunnyside,42.69,4769
Union Station,60.03,1991
University,57.01,3260
University Hills,33.88,2432
University Park,58.86,4898
Valverde,54.92,1301
Villa Park,57.96,2165
Virginia Village,52.91,3883
Washington Park,21.56,7769
Washington Park West,41.25,3819
Washington Virginia Vale,61.07,3880
Wellshire,11.8,2614
West Colfax,74.16,2771
West Highland,37.38,5193
Westwood,56.2,2276
Whittier,42.55,3027
Windsor,55.44,1530
